xzero,tdata,xdata
0.5,0.0,0.5000000000000027
0.5,0.02,0.4802556375574778
0.5,0.04,0.4605425461588525
0.5,0.06,0.4408913077098271
0.5,0.08,0.42133176834625075
0.5,0.1,0.4018929945024237
0.5,0.12,0.3826032317343921
0.5,0.14,0.3634898663428835
0.5,0.16,0.3445793898301882
0.5,0.18,0.32589736621504606
0.5,0.2,0.30746840221949306
0.5,0.22,0.28931612033171084
0.5,0.24,0.2714631347392404
0.5,0.26,0.2539310301175214
0.5,0.28,0.2367403432496283
0.5,0.3,0.21991054744434405
0.5,0.32,0.2034600397113659
0.5,0.34,0.18740613064451428
0.5,0.36,0.1717650369563389
0.5,0.38,0.15655187660051337
0.5,0.4,0.1417806664119044
0.5,0.42,0.12746432218820933
0.5,0.44,0.11361466113159249
0.5,0.46,0.10024240656383045
0.5,0.48,0.08735719482410334
0.5,0.5,0.0749675842547509
0.5,0.52,0.063081066177048
0.5,0.54,0.05170407775634289
0.5,0.56,0.0408420166537374
0.5,0.58,0.030499257359861923
0.5,0.6,0.02067916910519943
0.5,0.62,0.011384135240825441
0.5,0.64,0.002615573983339671
0.5,0.66,-0.005626039581851063
0.5,0.68,-0.013341150343901131
0.5,0.7,-0.020531098960280155
0.5,0.72,-0.027198096702975197
0.5,0.74,-0.03334519945715407
0.5,0.76,-0.03897628096990474
0.5,0.78,-0.04409600544394898
0.5,0.8,-0.04870979956822274
0.5,0.82,-0.05282382407395289
0.5,0.84,-0.05644494490137089
0.5,0.86,-0.05958070405852002
0.5,0.88,-0.06223929024976636
0.5,0.9,-0.06442950934764442
0.5,0.92,-0.0661607547775879
0.5,0.94,-0.06744297788094397
0.5,0.96,-0.06828665831747427
0.5,0.98,-0.06870277456433564
0.5,1.0,-0.06870277456433563
