xzero,tdata,xdata
0.0,0.0,5.2580162446247416e-14
0.0,0.02,0.026746187123343226
0.0,0.04,0.05424926041122799
0.0,0.06,0.08246425590590889
0.0,0.08,0.11134443376892514
0.0,0.1,0.14084135688701444
0.0,0.12,0.17090497370108382
0.0,0.14,0.20148370510452943
0.0,0.16,0.23252453524476974
0.0,0.18,0.2639731060498999
0.0,0.2,0.2957738152908835
0.0,0.22,0.3278699179787235
0.0,0.24,0.3602036308856401
0.0,0.26,0.3927162399694739
0.0,0.28,0.4253482104713705
0.0,0.3,0.458039299448321
0.0,0.32,0.4907286704943712
0.0,0.34,0.523355010397295
0.0,0.36,0.5558566474712907
0.0,0.38,0.5881716713008123
0.0,0.4,0.62023805362603
0.0,0.42,0.6519937700966192
0.0,0.44,0.6833769226176333
0.0,0.46,0.7143258620091245
0.0,0.48,0.7447793106999381
0.0,0.5,0.7746764851757251
0.0,0.52,0.803957217901688
0.0,0.54,0.8325620784418892
0.0,0.56,0.8604324934990931
0.0,0.58,0.8875108656020746
0.0,0.6,0.9137406901710816
0.0,0.62,0.9390666706966715
0.0,0.64,0.9634348317724205
0.0,0.66,0.9867926297280019
0.0,0.68,1.0090890606158278
0.0,0.7,1.0302747653117892
0.0,0.72,1.0503021314985992
0.0,0.74,1.0691253923088029
0.0,0.76,1.0867007214136095
0.0,0.78,1.1029863243533091
0.0,0.8,1.1179425259151037
0.0,0.82,1.1315318533746686
0.0,0.84,1.1437191154286277
0.0,0.86,1.154471476656328
0.0,0.88,1.163758527360787
0.0,0.9,1.1715523486504378
0.0,0.92,1.177827572635226
0.0,0.94,1.1825614376227414
0.0,0.96,1.1857338382122762
0.0,0.98,1.1873273701970326
0.0,1.0,1.1873273701970324
