xzero,tdata,xdata
2.0,0.0,1.9999999999998603
2.0,0.02,1.8407839888598916
2.0,0.04,1.6794224034017382
2.0,0.06,1.5161724631215963
2.0,0.08,1.3512937720782443
2.0,0.1,1.1850479073486702
2.0,0.12,1.0176980058343374
2.0,0.14,0.8495083500579677
2.0,0.16,0.6807439535864669
2.0,0.18,0.5116701467105093
2.0,0.2,0.34255216300534796
2.0,0.22,0.17365472739069995
2.0,0.24,0.005241646300069396
2.0,0.26,-0.162424599438307
2.0,0.28,-0.3290832584155682
2.0,0.3,-0.4944757085675563
2.0,0.32,-0.6583458526376195
2.0,0.34,-0.8204405086137978
2.0,0.36,-0.9805097945884866
2.0,0.38,-1.1383075075003541
2.0,0.4,-1.2935914952304437
2.0,0.42,-1.4461240215369915
2.0,0.44,-1.5956721233265008
2.0,0.46,-1.7420079597720222
2.0,0.48,-1.8849091528033715
2.0,0.5,-2.0241591185081425
2.0,0.52,-2.159547388996843
2.0,0.54,-2.2908699243002673
2.0,0.56,-2.417929413882301
2.0,0.58,-2.5405355673667467
2.0,0.6,-2.6585053940924173
2.0,0.62,-2.7716634711266837
2.0,0.64,-2.8798421993838734
2.0,0.66,-2.98288204751138
2.0,0.68,-3.080631783223059
2.0,0.7,-3.1729486917764604
2.0,0.72,-3.2596987813076725
2.0,0.74,-3.3407569747550014
2.0,0.76,-3.4160072881204258
2.0,0.78,-3.485342994835703
2.0,0.8,-3.548666776018183
2.0,0.82,-3.6058908564198
2.0,0.84,-3.6569371258913517
2.0,0.86,-3.701737246203051
2.0,0.88,-3.740232743081415
2.0,0.9,-3.7723750833418808
2.0,0.92,-3.7981257370160217
2.0,0.94,-3.8174562243919943
2.0,0.96,-3.830348147906723
2.0,0.98,-3.83679320884844
2.0,1.0,-3.8367932088484396
