xzero,tdata,xdata
1.0,0.0,0.9999999999999776
1.0,0.02,0.9337650879916375
1.0,0.04,0.8668358319065023
1.0,0.06,0.7993183595137708
1.0,0.08,0.7313191029236022
1.0,0.1,0.6629446321178591
1.0,0.12,0.5943014897677269
1.0,0.14,0.5254960275812642
1.0,0.16,0.4566342444156335
1.0,0.18,0.3878216263802192
1.0,0.2,0.31916298914812985
1.0,0.22,0.25076232268472537
1.0,0.24,0.18272263859286791
1.0,0.26,0.11514582026559615
1.0,0.28,0.04813247602791342
1.0,0.3,-0.018218204559605784
1.0,0.32,-0.08380859107161263
1.0,0.34,-0.14854274910824014
1.0,0.36,-0.212326573558587
1.0,0.38,-0.2750679180997602
1.0,0.4,-0.33667672080219635
1.0,0.42,-0.397065125720176
1.0,0.44,-0.456147600354424
1.0,0.46,-0.5138410488814396
1.0,0.48,-0.5700649210517078
1.0,0.5,-0.6247413166661999
1.0,0.52,-0.6777950855475691
1.0,0.54,-0.7291539229291811
1.0,0.56,-0.7787484601915968
1.0,0.58,-0.8265123508823299
1.0,0.6,-0.8723823519606625
1.0,0.62,-0.9162984002150015
1.0,0.64,-0.9582036838057227
1.0,0.66,-0.9980447088916864
1.0,0.68,-1.0357713613036137
1.0,0.7,-1.0713369632323344
1.0,0.72,-1.1046983249045361
1.0,0.74,-1.135815791223099
1.0,0.76,-1.1646532833534085
1.0,0.78,-1.1911783352411975
1.0,0.8,-1.2153621250515405
1.0,0.82,-1.2371795015225666
1.0,0.84,-1.2566090052313628
1.0,0.86,-1.2736328847733618
1.0,0.88,-1.2882371078603143
1.0,0.9,-1.3004113673457218
1.0,0.92,-1.310149082190398
1.0,0.94,-1.3174473933846262
1.0,0.96,-1.322307154847223
1.0,0.98,-1.324732919325703
1.0,1.0,-1.324732919325703
